query,page,device,country,clicks,impressions,ctr,position,date_start,date_end,page_path
scandinavian office furniture brands,https://moderncre8ve.com/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online,DESKTOP,gbr,0,1,0.0,43.0,2026-03-01,2026-03-08,/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online
scandinavian office furniture brands,https://moderncre8ve.com/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online,DESKTOP,usa,0,1,0.0,10.0,2026-03-01,2026-03-08,/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online
scandinavian online stores,https://moderncre8ve.com/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online,DESKTOP,usa,0,1,0.0,9.0,2026-03-01,2026-03-08,/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online
scandinavian online stores,https://moderncre8ve.com/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online,MOBILE,sgp,0,1,0.0,2.0,2026-03-01,2026-03-08,/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online
scandinavian online stores,https://moderncre8ve.com/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online,MOBILE,usa,0,3,0.0,10.3,2026-03-01,2026-03-08,/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online
scandinavian organic modern,https://moderncre8ve.com/blogs/mid-century-modern-scandi-japandi-design-blog/scandinavian-modern-design,DESKTOP,usa,0,1,0.0,15.0,2026-03-01,2026-03-08,/blogs/mid-century-modern-scandi-japandi-design-blog/scandinavian-modern-design
scandinavian organic modern,https://moderncre8ve.com/blogs/mid-century-modern-scandi-japandi-design-blog/scandinavian-modern-design,MOBILE,usa,0,2,0.0,1.0,2026-03-01,2026-03-08,/blogs/mid-century-modern-scandi-japandi-design-blog/scandinavian-modern-design
scandinavian organic modern,https://moderncre8ve.com/blogs/mid-century-modern-scandi-japandi-design-blog/scandinavian-modern-design,TABLET,usa,0,1,0.0,1.0,2026-03-01,2026-03-08,/blogs/mid-century-modern-scandi-japandi-design-blog/scandinavian-modern-design
scandinavian oval,https://moderncre8ve.com/products/scandinavian-dining-table-extendable-dining-table,DESKTOP,usa,0,3,0.0,14.7,2026-03-01,2026-03-08,/products/scandinavian-dining-table-extendable-dining-table
scandinavian oval,https://moderncre8ve.com/products/scandinavian-oval-dining-table-mar-vista,DESKTOP,usa,0,1,0.0,1.0,2026-03-01,2026-03-08,/products/scandinavian-oval-dining-table-mar-vista
scandinavian oval,https://moderncre8ve.com/products/scandinavian-oval-dining-table-mar-vista,MOBILE,usa,0,1,0.0,4.0,2026-03-01,2026-03-08,/products/scandinavian-oval-dining-table-mar-vista
scandinavian oval,https://moderncre8ve.com/products/scandinavian-oval-dining-table-mar-vista?variant=49792068944171,DESKTOP,usa,0,1,0.0,1.0,2026-03-01,2026-03-08,/products/scandinavian-oval-dining-table-mar-vista?variant=49792068944171
scandinavian oval dining table,https://moderncre8ve.com/products/scandinavian-dining-table-extendable-dining-table,DESKTOP,aut,0,1,0.0,2.0,2026-03-01,2026-03-08,/products/scandinavian-dining-table-extendable-dining-table
scandinavian oval dining table,https://moderncre8ve.com/products/scandinavian-dining-table-extendable-dining-table,DESKTOP,usa,0,1,0.0,6.0,2026-03-01,2026-03-08,/products/scandinavian-dining-table-extendable-dining-table
scandinavian oval dining table,https://moderncre8ve.com/products/scandinavian-dining-table-extendable-dining-table,MOBILE,gbr,0,1,0.0,3.0,2026-03-01,2026-03-08,/products/scandinavian-dining-table-extendable-dining-table
scandinavian oval dining table,https://moderncre8ve.com/products/scandinavian-dining-table-extendable-dining-table,MOBILE,ken,0,1,0.0,1.0,2026-03-01,2026-03-08,/products/scandinavian-dining-table-extendable-dining-table
scandinavian oval dining table,https://moderncre8ve.com/products/scandinavian-dining-table-extendable-dining-table,MOBILE,usa,0,1,0.0,3.0,2026-03-01,2026-03-08,/products/scandinavian-dining-table-extendable-dining-table
